GVID-100154,mysql-bug-44798-stored-procedures-server-crash
GVID-100155,mysql-bug-44834-strxnmov-inconsistent-null-terminator
GVID-100156,mysql-bug-45807-sql-mode-only-full-group-by-server-crash
GVID-100157,mysql-bug-report-symlink
GVID-100158,mysql-com-change-user-bof
GVID-100159,mysql-com-change-user-password-bypass
GVID-100160,mysql-com-table-dump-bof
GVID-100161,mysql-com-table-dump-dos
GVID-100162,mysql-com_field_list-command-bof
GVID-100163,mysql-create-database-privilege-escalation
GVID-100164,mysql-create-table-like-no-priv-check
GVID-100165,mysql-creates-readable-log-files
GVID-100166,mysql-datadir-isam-table-privilege-escalation
GVID-100167,mysql-datadir-parameter-bof
GVID-100168,mysql-datadir-table-privilege-escalation
GVID-100169,mysql-directory-traversal-and-arbitrary-table-access
GVID-100170,mysql-directory-traversal-vulnerability
GVID-100171,mysql-dispatch_command-multiple-format-string
GVID-100172,mysql-double-free
GVID-100173,mysql-drop-priv-rename-table
GVID-100174,mysql-empty-bit-string-dos
GVID-100175,mysql-extractvalue-and-updatexml-scalar-xpath-dos
GVID-100176,mysql-federated-engine-show-table-status-dos
GVID-100177,mysql-fulltext-search-dos
GVID-100178,mysql-grant-access-weakness
GVID-100179,mysql-grant-execute-perimission-inheritance
GVID-100180,mysql-grant-global-password-change
GVID-100181,mysql-html-output-script-insertion
GVID-100182,mysql-if-query-dos
GVID-100183,mysql-innodb-dos
GVID-100184,mysql-insecure-tempfile
GVID-100185,mysql-libc-code-exec
GVID-100186,mysql-libmysqlclient-readonerow-bof
GVID-100187,mysql-library-loading-path-traversal
GVID-100188,mysql-local-buffer-overflow
GVID-100189,mysql-login-memory-disclosure
GVID-100190,mysql-merge-table-revoke-bypass
GVID-100191,mysql-merge-union-thread-dos
GVID-100192,mysql-multibyte-encoding-sql-injection
GVID-100193,mysql-myisam-table-privilege-check-bypass
GVID-100194,mysql-mysqld_multi-symlink
GVID-100195,mysql-mysql_uninstall_plugin-unauthenticated-plugin-uninstall
GVID-100196,mysql-my_net_skip_rest-packet-length-dos
GVID-100197,mysql-null-byte-log-bypass
GVID-100198,mysql-obsolete-version
GVID-100199,mysql-preauth-password-packet-dos
GVID-100200,mysql-privs-override-via-views
GVID-100201,mysql-real-connection-bof
GVID-100202,mysql-root-privilege-escalation
GVID-100203,mysql-set-password-bof
GVID-100204,mysql-shared-library-code-exec
GVID-100205,mysql-show-grants-hash-disclosure
GVID-100206,mysql-sql-security-invoker-privs-not-restored
GVID-100207,mysql-system-table-symlink-overwrite
GVID-100208,mysql-temporary-table-symlink
GVID-100209,mysql-unauthorized-user-create-db
GVID-100210,mysql-user-functions-bof
GVID-100211,mysql-user-functions-bof2
GVID-100212,mysql-view-definer-privilege-escalation
GVID-100213,mysql-vio_verify_callback-zero-depth-x-509-certificate
GVID-100214,mysql-weak-password-encryption
GVID-100215,mysql-yassl-certdecodergetname-multiple-bofs
GVID-100216,mysql-yassl-multiple-bof
GVID-100217,mysql-zlib-bof
GVID-100218,oracle-mysql-cve-2001-1453
GVID-100219,oracle-mysql-cve-2003-1331
GVID-100220,oracle-mysql-cve-2004-0457
GVID-100221,oracle-mysql-cve-2005-0004
GVID-100222,oracle-mysql-cve-2005-1636
GVID-100223,oracle-mysql-cve-2005-2558
GVID-100224,oracle-mysql-cve-2005-2573
GVID-100225,oracle-mysql-cve-2006-3469
GVID-100226,oracle-mysql-cve-2006-3486
GVID-100227,oracle-mysql-cve-2006-7232
GVID-100228,oracle-mysql-cve-2008-7247
GVID-100229,oracle-mysql-cve-2009-4019
GVID-100230,oracle-mysql-cve-2009-4030
GVID-100231,oracle-mysql-cve-2009-5026
GVID-100232,oracle-mysql-cve-2010-1626
GVID-100233,oracle-mysql-cve-2010-3676
GVID-100234,oracle-mysql-cve-2010-3677
